Expected_Bytes,Actual_Bytes,Bitrate_Deviation_Percent,Duration_of_Experiment,Bitrate,Framerate,Resolution,Bitrate_Control,IDR_Interval,Codec,Stream
18750,8729,-53.45,1,150000,15,RESOLUTION_640X360,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_SECONDARY_LOW_RES
437500,289984,-33.72,1,3500000,30,RESOLUTION_2560X1440,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_PRIMARY
187500,115230,-38.54,1,1500000,15,RESOLUTION_1920X1080,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_SECONDARY
37500,23701,-36.8,1,300000,15,RESOLUTION_640X360,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_PRIMARY_LOW_RES
18750,9193,-50.97,1,150000,15,RESOLUTION_640X360,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_SECONDARY_LOW_RES
437500,193348,-55.81,1,3500000,30,RESOLUTION_2560X1440,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_PRIMARY
187500,94313,-49.7,1,1500000,15,RESOLUTION_1920X1080,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_SECONDARY
37500,23513,-37.3,1,300000,15,RESOLUTION_640X360,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_PRIMARY_LOW_RES
18750,9322,-50.28,1,150000,15,RESOLUTION_640X360,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_SECONDARY_LOW_RES
437500,288445,-34.07,1,3500000,30,RESOLUTION_2560X1440,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_PRIMARY
187500,110153,-41.25,1,1500000,15,RESOLUTION_1920X1080,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_SECONDARY
37500,18158,-51.58,1,300000,15,RESOLUTION_640X360,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_PRIMARY_LOW_RES
18750,8744,-53.37,1,150000,15,RESOLUTION_640X360,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_SECONDARY_LOW_RES
437500,120346,-72.49,1,3500000,30,RESOLUTION_2560X1440,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_PRIMARY
187500,93833,-49.96,1,1500000,15,RESOLUTION_1920X1080,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_SECONDARY
